ref_date,selic,ref_year,period_label
2001-06-07,0.1673,2001-01-01,2001-2004
2001-06-08,0.16690000000000002,2001-01-01,2001-2004
2001-06-11,0.16649999999999998,2001-01-01,2001-2004
2001-06-12,0.1663,2001-01-01,2001-2004
2001-06-13,0.16670000000000001,2001-01-01,2001-2004
2001-06-15,0.16649999999999998,2001-01-01,2001-2004
2001-06-18,0.1679,2001-01-01,2001-2004
2001-06-19,0.168,2001-01-01,2001-2004
2001-06-20,0.16870000000000002,2001-01-01,2001-2004
2001-06-21,0.18289999999999998,2001-01-01,2001-2004
2001-06-22,0.1827,2001-01-01,2001-2004
2001-06-25,0.183,2001-01-01,2001-2004
2001-06-26,0.183,2001-01-01,2001-2004
2001-06-27,0.18309999999999998,2001-01-01,2001-2004
2001-06-28,0.18309999999999998,2001-01-01,2001-2004
2001-06-29,0.1832,2001-01-01,2001-2004
2001-07-02,0.1832,2001-01-01,2001-2004
2001-07-03,0.18309999999999998,2001-01-01,2001-2004
2001-07-04,0.1832,2001-01-01,2001-2004
2001-07-05,0.18309999999999998,2001-01-01,2001-2004
2001-07-06,0.1832,2001-01-01,2001-2004
2001-07-09,0.183,2001-01-01,2001-2004
2001-07-10,0.1832,2001-01-01,2001-2004
2001-07-11,0.1833,2001-01-01,2001-2004
2001-07-12,0.1832,2001-01-01,2001-2004
2001-07-13,0.1832,2001-01-01,2001-2004
2001-07-16,0.1833,2001-01-01,2001-2004
2001-07-17,0.183,2001-01-01,2001-2004
2001-07-18,0.1837,2001-01-01,2001-2004
2001-07-19,0.19,2001-01-01,2001-2004
2001-07-20,0.19,2001-01-01,2001-2004
2001-07-23,0.1895,2001-01-01,2001-2004
2001-07-24,0.18899999999999997,2001-01-01,2001-2004
2001-07-25,0.1893,2001-01-01,2001-2004
2001-07-26,0.1889,2001-01-01,2001-2004
2001-07-27,0.1888,2001-01-01,2001-2004
2001-07-30,0.18899999999999997,2001-01-01,2001-2004
2001-07-31,0.1888,2001-01-01,2001-2004
2001-08-01,0.1888,2001-01-01,2001-2004
2001-08-02,0.1888,2001-01-01,2001-2004
2001-08-03,0.1889,2001-01-01,2001-2004
2001-08-06,0.1892,2001-01-01,2001-2004
2001-08-07,0.1902,2001-01-01,2001-2004
2001-08-08,0.19,2001-01-01,2001-2004
2001-08-09,0.19,2001-01-01,2001-2004
2001-08-10,0.19,2001-01-01,2001-2004
2001-08-13,0.18989999999999999,2001-01-01,2001-2004
2001-08-14,0.18989999999999999,2001-01-01,2001-2004
2001-08-15,0.18969999999999998,2001-01-01,2001-2004
2001-08-16,0.19030000000000002,2001-01-01,2001-2004
2001-08-17,0.19039999999999999,2001-01-01,2001-2004
2001-08-20,0.1905,2001-01-01,2001-2004
2001-08-21,0.1906,2001-01-01,2001-2004
2001-08-22,0.19030000000000002,2001-01-01,2001-2004
2001-08-23,0.19030000000000002,2001-01-01,2001-2004
2001-08-24,0.19030000000000002,2001-01-01,2001-2004
2001-08-27,0.19030000000000002,2001-01-01,2001-2004
2001-08-28,0.19010000000000002,2001-01-01,2001-2004
2001-08-29,0.18989999999999999,2001-01-01,2001-2004
2001-08-30,0.19010000000000002,2001-01-01,2001-2004
2001-08-31,0.1905,2001-01-01,2001-2004
2001-09-03,0.1905,2001-01-01,2001-2004
2001-09-04,0.1905,2001-01-01,2001-2004
2001-09-05,0.1906,2001-01-01,2001-2004
2001-09-06,0.1906,2001-01-01,2001-2004
2001-09-10,0.1907,2001-01-01,2001-2004
2001-09-11,0.1905,2001-01-01,2001-2004
2001-09-12,0.1905,2001-01-01,2001-2004
2001-09-13,0.1906,2001-01-01,2001-2004
2001-09-14,0.1906,2001-01-01,2001-2004
2001-09-17,0.1906,2001-01-01,2001-2004
2001-09-18,0.1906,2001-01-01,2001-2004
2001-09-19,0.1906,2001-01-01,2001-2004
2001-09-20,0.1906,2001-01-01,2001-2004
2001-09-21,0.1906,2001-01-01,2001-2004
2001-09-24,0.1907,2001-01-01,2001-2004
2001-09-25,0.1907,2001-01-01,2001-2004
2001-09-26,0.19079999999999997,2001-01-01,2001-2004
2001-09-27,0.1909,2001-01-01,2001-2004
2001-09-28,0.191,2001-01-01,2001-2004
2001-10-01,0.191,2001-01-01,2001-2004
2001-10-02,0.1911,2001-01-01,2001-2004
2001-10-03,0.1911,2001-01-01,2001-2004
2001-10-04,0.191,2001-01-01,2001-2004
2001-10-05,0.1909,2001-01-01,2001-2004
2001-10-08,0.1907,2001-01-01,2001-2004
2001-10-09,0.1906,2001-01-01,2001-2004
2001-10-10,0.1905,2001-01-01,2001-2004
2001-10-11,0.1905,2001-01-01,2001-2004
2001-10-15,0.1905,2001-01-01,2001-2004
2001-10-16,0.1905,2001-01-01,2001-2004
2001-10-17,0.1905,2001-01-01,2001-2004
2001-10-18,0.1905,2001-01-01,2001-2004
2001-10-19,0.1905,2001-01-01,2001-2004
2001-10-22,0.1905,2001-01-01,2001-2004
2001-10-23,0.1905,2001-01-01,2001-2004
