ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
PETR3.SA,2015-01-02,499984500,8.03,10.16,7.78,8.04,4.241224,NA,NA,1
PETR3.SA,2015-02-02,335879100,9.25,10.6,8.01,9.48,5.000845,0.17910419256327903,0.17910447761194037,1.179104192563279
PETR3.SA,2015-03-02,371798700,9.55,9.85,7.93,9.58,5.053597,0.010548617283679063,0.010548523206751037,1.1915421114282105
PETR3.SA,2015-04-01,524031500,13.65,15.03,9.7,14.25,7.517094,0.487473971509798,0.48747390396659696,1.7723878767072905
PETR3.SA,2015-05-04,332658800,13.67,16.26,13.23,13.25,6.989578,-0.0701755226155214,-0.07017543859649122,1.648009631181942
PETR3.SA,2015-06-01,337042200,14.25,15.05,13.13,14.03,7.40104,0.0588679316548153,0.05886792452830192,1.745024549516838
PETR3.SA,2015-07-01,324560200,11.58,14.22,10.42,11.58,6.108628,-0.17462572827602607,-0.17462580185317178,1.4402983666979159
PETR3.SA,2015-08-03,430561400,10,11.7,8.35,10.62,5.602213,-0.08290159426961352,-0.08290155440414515,1.3208953358747382
PETR3.SA,2015-09-01,413581200,8.6,10.83,7.66,8.54,4.504982,-0.19585670876848127,-0.19585687382297556,1.0621891227626743
PETR3.SA,2015-10-01,315851200,9.25,11.18,8.27,9.38,4.948094,0.09836043740019385,0.09836065573770503,1.1666665094793391
PETR3.SA,2015-11-03,300500500,9.25,10.8,8.67,9.41,4.963919,0.003198201165943715,0.0031982942430703876,1.1703977436702235
PETR3.SA,2015-12-01,280757500,8.57,10.3,8.18,8.57,4.520806,-0.08926676684289159,-0.08926673751328373,1.0659201211725673
PETR3.SA,2016-01-04,294238700,6.61,8.96,5.67,6.93,3.655682,-0.1913649911099924,-0.19136522753792307,0.8619403266604169
PETR3.SA,2016-02-01,294012200,7.15,7.75,5.78,7.35,3.877238,0.060605927977324114,0.06060606060606055,0.9141790200187494
PETR3.SA,2016-03-01,516308300,10.63,11.29,7.21,10.63,5.607489,0.44625865113258456,0.44625850340136064,1.3221393163860244
