ref_date,ticker,country,cumret_adjusted_prices
2015-07-31,BA,USA,1.1234421370102332
2015-08-03,BA,USA,1.1197017938649378
2015-08-04,BA,USA,1.118532655633604
2015-08-05,BA,USA,1.1367267837162205
2015-08-06,BA,USA,1.127865296440168
2015-08-07,BA,USA,1.1168859762440615
2015-08-10,BA,USA,1.1438631188046235
2015-08-11,BA,USA,1.1296687102646785
2015-08-12,BA,USA,1.1169644490421688
2015-08-13,BA,USA,1.1356288596151567
2015-08-14,BA,USA,1.1378244262689563
2015-08-17,BA,USA,1.1327272577380247
2015-08-18,BA,USA,1.133981986661139
2015-08-19,BA,USA,1.1192386908569365
2015-08-20,BA,USA,1.0745381778169332
2015-08-21,BA,USA,1.0328960098874154
2015-08-24,BA,USA,0.9974492689285326
2015-08-25,BA,USA,0.984117568458191
2015-08-26,BA,USA,1.0143099313383703
2015-08-27,BA,USA,1.0341506684234472
2015-08-28,BA,USA,1.0448947109993965
2015-08-31,BA,USA,1.0248183531571375
2015-09-01,BA,USA,0.9994098923008148
2015-09-02,BA,USA,1.0244265434648732
2015-09-03,BA,USA,1.0274849501640553
2015-09-04,BA,USA,1.0176037476334883
2015-09-08,BA,USA,1.0494431242418496
2015-09-09,BA,USA,1.0402674202331144
2015-09-10,BA,USA,1.0473255552733531
2015-09-11,BA,USA,1.0561088337028561
2015-09-14,BA,USA,1.0542267447173779
2015-09-15,BA,USA,1.0688918404734158
2015-09-16,BA,USA,1.075949641175015
2015-09-17,BA,USA,1.0779103349343793
2015-09-18,BA,USA,1.0672446243823728
2015-09-21,BA,USA,1.0666960010696733
2015-09-22,BA,USA,1.0507762555759885
2015-09-23,BA,USA,1.032582127493372
2015-09-24,BA,USA,1.0175252132466843
2015-09-25,BA,USA,1.0274064157772513
2015-09-28,BA,USA,1.0048210136128715
2015-09-29,BA,USA,1.0096831772735888
2015-09-30,BA,USA,1.0269358605369368
2015-10-01,BA,USA,1.024269536279962
2015-10-02,BA,USA,1.0395619920983645
2015-10-05,BA,USA,1.0510114628090637
2015-10-06,BA,USA,1.055795426421617
2015-10-07,BA,USA,1.0745381778169332
2015-10-08,BA,USA,1.0903792569480353
2015-10-09,BA,USA,1.0955552326157136
2015-10-12,BA,USA,1.1032404637667592
2015-10-13,BA,USA,1.100181916293413
2015-10-14,BA,USA,1.0525798717633599
2015-10-15,BA,USA,1.077439850081147
2015-10-16,BA,USA,1.0790866526480831
2015-10-19,BA,USA,1.0855168909244568
2015-10-20,BA,USA,1.0891248007748642
2015-10-21,BA,USA,1.107239989744955
2015-10-22,BA,USA,1.1473922215182841
2015-10-23,BA,USA,1.1504504962416873
2015-10-26,BA,USA,1.1504504962416873
2015-10-27,BA,USA,1.1642530159039006
2015-10-28,BA,USA,1.1597044002985866
2015-10-29,BA,USA,1.1542149381642015
2015-10-30,BA,USA,1.1611943364547754
2015-11-02,BA,USA,1.1637821879136434
2015-11-03,BA,USA,1.1613512732526046
2015-11-04,BA,USA,1.1693209210054674
2015-11-05,BA,USA,1.1675849028120258
2015-11-06,BA,USA,1.1673480766760636
2015-11-09,BA,USA,1.1518824334422624
2015-11-10,BA,USA,1.1453331882069024
2015-11-11,BA,USA,1.1440708046886148
2015-11-12,BA,USA,1.1247383503198343
2015-11-13,BA,USA,1.125132852317987
2015-11-16,BA,USA,1.139572938169463
2015-11-17,BA,USA,1.1526717013901258
