ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
^BVSP,2015-01-02,77719800,47759,50281,46484,46908,46908,NA,NA,1
^BVSP,2015-02-02,65310100,51760,52457,46760,51583,51583,0.09966317046132867,0.09966317046132867,1.0996631704613287
^BVSP,2015-03-02,79890000,51243,52319,47905,51150,51150,-0.008394238411879917,-0.008394238411879917,1.0904323356357126
^BVSP,2015-04-01,81114600,55312,56965,51186,56229,56229,0.09929618768328452,0.09929618768328452,1.1987081094909184
^BVSP,2015-05-04,67845700,53974,58575,52760,52760,52760,-0.06169414359138525,-0.06169414359138525,1.1247548392598279
^BVSP,2015-06-01,61236200,53014,54361,52548,53081,53081,0.006084154662623131,0.006084154662623131,1.1315980216594184
^BVSP,2015-07-01,65571800,49897,53456,48624,50865,50865,-0.04174751794427389,-0.04174751794427389,1.084356612944487
^BVSP,2015-08-03,71135200,47151,50867,42749,46626,46626,-0.083338248304335,-0.083338248304335,0.9939882322844718
^BVSP,2015-09-01,79146200,44132,49396,43767,45059,45059,-0.03360785827649804,-0.03360785827649804,0.9605824166453484
^BVSP,2015-10-01,78617500,45628,49752,44789,45869,45869,0.017976430901706753,0.017976430901706753,0.977850260083568
^BVSP,2015-11-03,66640000,45871,49054,45106,45120,45120,-0.016329111164402943,-0.016329111164402943,0.961882834484523
^BVSP,2015-12-01,64358600,43653,47142,43137,43350,43350,-0.03922872340425532,-0.03922872340425532,0.9241493988232286
^BVSP,2016-01-04,70039500,38635,43349,37046,40406,40406,-0.06791234140715108,-0.06791234140715108,0.861388249339132
^BVSP,2016-02-01,73592000,41599,43601,38596,42794,42794,0.05910013364351818,0.05910013364351818,0.9122964099940309
^BVSP,2016-03-01,121365300,51248,52262,42795,50055,50055,0.16967331868953583,0.16967331868953583,1.0670887695062676
^BVSP,2016-04-01,88910200,54317,54978,47874,53911,53911,0.07703526121266613,0.07703526121266613,1.1492922316022853
^BVSP,2016-05-02,79045000,48963,54113,48292,48472,48472,-0.1008885014190054,-0.1008885014190054,1.0333418606634264
^BVSP,2016-06-01,79032100,51001,51812,48067,51527,51527,0.0630260769103812,0.0630260769103812,1.0984693442483158
^BVSP,2016-07-01,75165800,56664,57474,50825,57308,57308,0.11219360723504179,0.11219360723504179,1.2217105824166454
^BVSP,2016-08-01,80937900,58580,59418,55696,57901,57901,0.01034759544915187,0.01034759544915187,1.2343523492794406
^BVSP,2016-09-01,68141200,58350,60310,56459,58367,58367,0.008048220237992343,0.008048220237992343,1.2442866888377246
^BVSP,2016-10-03,74450900,64312,65054,58367,64925,64925,0.11235801051964289,0.11235801051964289,1.3840922657116053
^BVSP,2016-11-01,83065700,60994,65291,58322,61906,61906,-0.04649980747015792,-0.04649980747015792,1.319732241835081
^BVSP,2016-12-01,64108500,59782,61936,56829,60227,60227,-0.027121765257002606,-0.027121765257002606,1.2839387737699322
^BVSP,2017-01-02,60057300,64310,66594,59371,64671,64671,0.07378750394341416,0.07378750394341416,1.3786774111025835
^BVSP,2017-02-01,56775200,67458,69488,63740,66662,66662,0.030786596774442954,0.030786596774442954,1.4211221966402316
^BVSP,2017-03-01,73694400,65266,67398,62496,64984,64984,-0.025171762023341593,-0.025171762023341593,1.3853500469003153
^BVSP,2017-04-03,51935600,64679,66211,62826,65403,65403,0.0064477409823957554,0.0064477409823957554,1.3942824251726782
^BVSP,2017-05-02,86770000,63961,68792,60315,62711,62711,-0.04116019142852778,-0.04116019142852778,1.3368934936471388
^BVSP,2017-06-01,65351300,62238,63637,60544,62900,62900,0.003013825325700381,0.003013825325700381,1.3409226571160566
^BVSP,2017-07-03,53755900,65503,66048,62035,65920,65920,0.048012718600953797,0.048012718600953797,1.4053039993178131
^BVSP,2017-08-01,68162600,70887,71506,65925,70835,70835,0.074560072815534,0.074560072815534,1.5100835678349105
^BVSP,2017-09-01,68909400,73571,76420,70846,74294,74294,0.048831792193124945,0.048831792193124945,1.5838236548136775
^BVSP,2017-10-02,65846200,74798,78024,73845,74308,74308,1.884405200958117e-4,1.884405200958117e-4,1.5841221113669306
^BVSP,2017-11-01,65167600,72700,75199,70825,71971,71971,-0.031450180330516275,-0.031450180330516275,1.5343011852988824
^BVSP,2017-12-01,54645300,76077,76437,71356,76402,76402,0.06156646427033108,0.06156646427033108,1.6287626844035128
^BVSP,2018-01-02,71837300,84485,86213,76403,84913,84913,0.11139760739247673,0.11139760739247673,1.8102029504562118
^BVSP,2018-02-01,71597200,86939,88318,79690,85481,85481,0.006689199533640222,0.006689199533640222,1.8223117591881977
^BVSP,2018-03-01,70136200,83874,87333,82889,85366,85366,-0.0013453282015886137,-0.0013453282015886137,1.8198601517864752
^BVSP,2018-04-02,61917800,86443,87179,82762,86115,86115,0.008773984958882819,0.008773984958882819,1.83582757738552
^BVSP,2018-05-02,96407700,76058,86678,75337,76754,76754,-0.10870347790744939,-0.10870347790744939,1.6362667348853066
^BVSP,2018-06-01,93312000,71779,78892,69069,72763,72763,-0.05199729004351561,-0.05199729004351561,1.5511852988829191
^BVSP,2018-07-02,63627800,80279,80589,71935,79220,79220,0.08874015639816935,0.08874015639816935,1.6888377249083304
^BVSP,2018-08-01,77877000,76386,81792,74876,76678,76678,-0.03208785660186819,-0.03208785660186819,1.6346465421676466
^BVSP,2018-09-03,59194500,80000,80107,74275,79342,79342,0.034742690211012395,0.034742690211012395,1.6914385605866797
^BVSP,2018-10-01,110546700,86889,88377,78091,87424,87424,0.10186282170855288,0.10186282170855288,1.863733265114692
^BVSP,2018-11-01,83697300,89709,90246,84030,89504,89504,0.023792093704245953,0.023792093704245953,1.9080753815980211
^BVSP,2018-12-03,79750200,85469,91242,83892,87887,87887,-0.01806623167679655,-0.01806623167679655,1.8736036496972792
^BVSP,2019-01-02,101237300,96996,98405,87536,97394,97394,0.10817299486841048,0.10817299486841048,2.076276967681418
^BVSP,2019-02-01,95001600,97307,98589,93424,95584,95584,-0.01858430704150149,-0.01858430704150149,2.037690799010829
^BVSP,2019-03-01,86699500,94402,100439,91584,95415,95415,-0.0017680783394710131,-0.0017680783394710131,2.0340880020465586
^BVSP,2019-04-01,90379400,96191,97610,92338,96353,96353,0.009830739401561539,0.009830739401561539,2.0540845911145214
^BVSP,2019-05-02,98077700,97420,97992,89409,97030,97030,0.007026247236723293,0.007026247236723293,2.0685170972968354
^BVSP,2019-06-03,88248100,100726,102617,95686,100967,100967,0.040575079872204434,0.040575079872204434,2.152447343736675
^BVSP,2019-07-01,94472500,102946,106650,100073,101812,101812,0.008369071082630963,0.008369071082630963,2.1704613285580274
^BVSP,2019-08-01,118683900,100526,104848,95855,101135,101135,-0.006649510863159569,-0.006649510863159569,2.1560288223757134
^BVSP,2019-09-02,93206100,105077,106001,99406,104745,104745,0.03569486330152771,0.03569486330152771,2.232987976464568
^BVSP,2019-10-01,103190700,108403,108408,99826,107220,107220,0.023628812831161472,0.023628812831161472,2.2857508314146835
^BVSP,2019-11-01,95992100,108283,109672,105261,108233,108233,0.009447864204439549,0.009447864204439549,2.307346294875074
^BVSP,2019-12-02,99879900,116530,117803,108190,115964,115964,0.07142923138044766,0.07142923138044766,2.4721582672465243
^BVSP,2020-01-02,122061200,115518,119593,112825,113761,113761,-0.018997275016384374,-0.018997275016384374,2.4251939967596137
^BVSP,2020-02-03,122284500,102984,117701,99951,104172,104172,-0.08429074990550367,-0.08429074990550367,2.2207725761064205
^BVSP,2020-03-02,270525000,74629,108804,61691,73020,73020,-0.2990438889528856,-0.2990438889528856,1.5566641084676383
^BVSP,2020-04-01,209517900,83169,83598,67802,80506,80506,0.10251985757326754,0.10251985757326754,1.716253091157158
^BVSP,2020-05-04,220355900,86951,88091,75697,87403,87403,0.08567063324472701,0.08567063324472701,1.863285580284812
^BVSP,2020-06-01,232321100,95728,97693,86837,95056,95056,0.08755992357241738,0.08755992357241738,2.0264347232881375
^BVSP,2020-07-01,212054200,105010,105704,95062,102912,102912,0.08264601918868886,0.08264601918868886,2.193911486313634
^BVSP,2020-08-03,202682200,102142,104523,98513,99369,99369,-0.03442747201492535,-0.03442747201492535,2.1183806600153483
^BVSP,2020-09-01,182459100,93586,103226,93408,94603,94603,-0.04796264428544117,-0.04796264428544117,2.016777521957874
^BVSP,2020-10-01,198128300,96579,102218,93387,93952,93952,-0.006881388539475508,-0.006881388539475508,2.0028992922316013
^BVSP,2020-11-03,210654500,110598,111603,93968,108888,108888,0.1589747956403269,0.1589747956403269,2.3213097979022757
^BVSP,2020-12-01,177044900,119410,120150,108897,119306,119306,0.09567629123503041,0.09567629123503041,2.5434041101731033
^BVSP,2021-01-04,186733700,118880,125324,114887,116007,116007,-0.027651584999916157,-0.027651584999916157,2.4730749552315157
^BVSP,2021-02-01,190633700,112260,121117,109827,110035,110035,-0.05147965208996008,-0.05147965208996008,2.3457619169438035
^BVSP,2021-03-01,215718800,116850,117249,107319,116634,116634,0.05997182714590821,0.05997182714590821,2.486441545152212
^BVSP,2021-04-01,158707300,120064,121974,114991,118894,118894,0.01937685409057388,0.01937685409057388,2.5346209601773673
^BVSP,2021-05-03,171080700,125561,126216,117631,126216,126216,0.061584268339865744,0.061584268339865744,2.690713737528778
^BVSP,2021-06-01,197840500,127323,131190,126184,126802,126802,0.0046428345059263965,0.0046428345059263965,2.703206276114947
^BVSP,2021-07-01,152098400,125672,129620,121748,121801,121801,-0.03943944101828045,-0.03943944101828045,2.596593331627866
^BVSP,2021-08-02,201788600,119738,124536,114801,118781,118781,-0.024794541916733026,-0.024794541916733026,2.5322119894261097
^BVSP,2021-09-01,231540400,111117,119942,107520,110979,110979,-0.06568390567515003,-0.06568390567515003,2.365886415963161
